y1,y2,y3,y4,y5,y6,y7,y8,y9
5,HATCH,RS,59,F,Casado,24624,"0,50",1
10,MONOVOLUME,AM,45,M,Solteiro,23391,"0,70",0
10,SUV,RS,42,M,Casado,86639,"0,79",0
9,SEDAN,SP,63,F,Casado,77545,"0,01",0
3,MONOVOLUME,SP,36,F,Casado,25934,"0,51",0
10,HATCH,MG,33,M,Casado,42704,"0,79",0
2,HATCH,SP,35,M,Casado,16986,"0,81",0
1,SEDAN,SP,63,M,Casado,19055,"0,01",0
10,SUV,SP,54,M,Casado,52374,"0,76",0
0,SUV,RS,32,M,Casado,52524,"0,79",0
2,SEDAN,SP,66,M,Casado,24134,"0,01",0
6,HATCH,SP,36,F,Casado,45698,"0,66",0
10,HATCH,SP,52,M,Casado,16336,"0,76",0
4,PICAPE LEVE,SP,34,M,Casado,17700,"0,80",0
10,CAMIONETA LEVE,PR,42,M,Casado,15474,"0,77",0
2,HATCH,SP,47,F,Casado,16402,"0,59",0
0,MONOVOLUME,SP,60,M,Casado,44538,"0,82",0
2,SEDAN,SP,36,M,Casado,27313,"0,77",1
6,MONOVOLUME,SP,58,M,Casado,32819,"0,11",0
4,SEDAN,SP,57,F,Casado,25450,"0,01",0
10,SUV,SP,64,M,Casado,36549,"0,57",0
6,HATCH,PR,50,F,Casado,45698,"0,31",0
3,MONOVOLUME,RJ,32,M,Casado,34525,"0,43",0
4,PICAPE PESADA,SP,50,F,Divorciado,61593,"0,78",0
1,SEDAN,SP,32,F,Solteiro,33956,"0,82",0
10,SUV,SP,43,M,Casado,65410,"0,76",0
10,HATCH,SP,63,M,Casado,42200,"0,83",0
9,HATCH,SP,53,F,Casado,41949,"0,27",0
1,SUV,SP,31,F,Casado,31361,"0,41",1
10,SEDAN,SP,76,M,Viuvo,42996,"0,79",0
0,PICAPE LEVE,RS,56,F,Casado,19909,"0,07",0
3,HATCH,SP,37,F,Solteiro,17547,"0,80",0
3,HATCH,PA,31,M,Solteiro,25045,"0,82",0
6,PICAPE PESADA,SP,33,M,Solteiro,52518,"0,82",2
6,SEDAN,SP,46,M,Casado,41454,"0,57",0
0,CAMIONETA LEVE,SP,39,M,Casado,16091,"0,77",0
3,MONOVOLUME,SP,53,F,Casado,30284,"0,76",0
10,HATCH,SP,49,M,Casado,36775,"0,77",0
9,STATION WAGON,RS,50,M,Casado,33784,"0,79",0
3,HATCH,SP,29,M,Solteiro,30719,"0,13",0
0,HATCH,SP,47,M,Divorciado,20461,"0,79",0
0,HATCH,SP,67,M,Casado,19091,"0,78",0
1,SEDAN,SP,69,M,Casado,22059,"0,04",0
5,HATCH,GO,36,M,Casado,23948,"0,06",0
9,SEDAN,SP,36,F,Casado,79804,"0,79",0
10,SEDAN,SP,56,M,Casado,22427,"0,79",0
3,SEDAN,SP,54,F,Casado,25591,"0,78",0
10,SUV,SP,30,F,Casado,55701,"0,82",0
10,SUV,SP,49,F,Casado,49014,"0,22",0
10,SUV,SP,41,M,Casado,57457,"0,77",0
10,HATCH,SP,65,F,Casado,20694,"0,82",0
10,MONOVOLUME,SP,59,M,Casado,48678,"0,84",0
9,SUV,SP,70,M,Casado,58759,"0,84",0
4,SUV,RS,30,M,Casado,63539,"0,80",0
10,CAMIONETA LEVE,SP,47,M,Divorciado,17029,"0,11",0
10,SEDAN,SP,44,F,Casado,43595,"0,76",0
10,HATCH,SP,60,M,Casado,4288,"0,79",0
3,SUV,SP,44,F,Casado,47309,"0,68",0
0,SEDAN,SP,59,M,Casado,54243,"0,81",0
10,STATION WAGON,SP,41,M,Casado,19448,"0,81",0
1,SEDAN,SP,43,M,Casado,34572,"0,77",1
10,HATCH,SP,47,M,Casado,20609,"0,77",0
10,SEDAN,SC,44,F,Casado,27906,"0,82",0
10,MONOVOLUME,SP,35,F,Casado,38165,"0,79",0
10,HATCH,PR,58,M,Casado,16822,"0,81",0
3,HATCH,SP,47,M,Casado,11830,"0,82",0
6,SEDAN,SP,62,F,Viuvo,65981,"0,81",0
8,ESPORTIVO,SP,53,M,Casado,155517,"0,04",0
8,HATCH,SP,37,F,Casado,16093,"0,05",0
3,SEDAN,SP,70,M,Casado,18064,"0,70",0
3,SEDAN,SP,34,F,Casado,41183,"0,02",0
10,SEDAN,SP,55,M,Casado,56078,"0,76",0
0,SUV,SP,39,M,Casado,84250,"0,79",0
5,SUV,SP,73,M,Casado,56288,"0,77",2
6,SEDAN,DF,49,F,Casado,61451,"0,30",0
10,SEDAN,SP,37,F,Casado,25469,"0,70",0
10,SUV,SP,55,M,Casado,39356,"0,77",0
10,PICAPE LEVE,SP,52,F,Casado,21908,"0,77",0
4,PICAPE LEVE,SP,63,M,Casado,26232,"0,78",0
10,HATCH,SP,45,F,Divorciado,40146,"0,01",0
10,HATCH,SP,45,F,Solteiro,14178,"0,77",0
8,SUV,RS,39,M,Casado,96394,"0,80",0
10,SUV,SP,61,M,Casado,60809,"0,36",0
10,HATCH,SP,63,M,Casado,50230,"0,76",0
2,MONOVOLUME,SP,40,M,Casado,21414,"0,81",0
7,SEDAN,SP,50,F,Casado,24890,"0,64",0
2,SEDAN,SP,42,M,Casado,14713,"0,78",0
10,SEDAN,SC,50,F,Casado,39626,"0,79",0
10,SEDAN,SP,70,F,Viuvo,19535,"0,81",1
0,HATCH,SP,69,M,Casado,25920,"0,76",0
10,HATCH,SP,48,F,Casado,27976,"0,77",0
10,SEDAN,SP,81,M,Casado,12851,"0,78",0
3,SEDAN,SP,54,F,Casado,37662,"0,81",0
10,HATCH,SP,29,M,Casado,37994,"0,82",0
10,PICAPE LEVE,SP,68,M,Casado,38015,"0,82",0
3,HATCH,SP,31,F,Solteiro,17186,"0,20",0
8,MONOVOLUME,SP,40,F,Casado,52784,"0,26",0
8,HATCH,SP,54,M,Casado,18112,"0,80",0
1,HATCH,SP,55,M,Casado,38773,"0,82",0
10,PICAPE PESADA,SP,68,M,Casado,57461,"0,81",0
10,SUV,PR,40,M,Casado,33929,"0,80",0
9,HATCH,SP,61,F,Casado,22067,"0,79",0
10,SEDAN,SP,44,M,Casado,70272,"0,79",0
6,HATCH,SP,54,F,Solteiro,14378,"0,82",0
4,SEDAN,BA,49,F,Casado,38998,"0,83",0
2,SEDAN,SP,33,F,Casado,22901,"0,83",0
10,MONOVOLUME,SP,69,F,Solteiro,14004,"0,83",0
8,SEDAN,SP,56,M,Casado,19343,"0,77",0
8,SEDAN,SP,58,F,Casado,24277,"0,77",0
5,SEDAN,SP,39,F,Casado,50281,"0,01",0
0,SEDAN,SP,56,M,Casado,45325,"0,82",0
9,STATION WAGON,SP,72,F,Divorciado,17033,"0,08",0
10,HATCH,RJ,36,F,Casado,41840,"0,76",0
10,HATCH,SP,73,M,Casado,16248,"0,79",0
10,HATCH,SC,58,M,Casado,76062,"0,27",0
10,SUV,SC,74,M,Casado,62101,"0,78",0
10,SEDAN,SP,51,F,Casado,16529,"0,81",0
4,MONOVOLUME,SP,37,M,Casado,19390,"0,81",0
10,SUV,SP,67,M,Casado,54810,"0,76",0
2,SEDAN,SP,33,M,Casado,32796,"0,76",0
10,HATCH,SP,71,F,Solteiro,31153,"0,79",0
9,SEDAN,SP,35,M,Casado,25417,"0,18",0
10,SEDAN,SP,70,F,Viuvo,75025,"0,53",0
3,HATCH,SP,40,F,Casado,15376,"0,07",0
9,SEDAN,MG,76,F,Solteiro,27631,"0,84",0
9,SUV,BA,51,M,Casado,70144,"0,39",0
10,HATCH,SP,53,M,Casado,8390,"0,73",0
3,SUV,SP,39,F,Casado,49688,"0,26",0
1,PICAPE PESADA,GO,54,M,Casado,41356,"0,76",0
10,HATCH,SP,48,M,Solteiro,8211,"0,78",0
10,HATCH,SP,64,M,Casado,45129,"0,76",0
10,STATION WAGON,SP,47,M,Casado,31470,"0,78",0
