animal,tratamento,linhagem,sessao,ordem,Npepara1,Ndei1,Npemov1,Ncnor1,Ncalta1,Ncbaixa1,Ncoutra1,Ncgrup1,Ncobs1,Ncpar1,Ncsol1,Nolev1,Noneu1,Notras1,Noass1,Nonvis1,Ncdnmov1,Ncdmov1,Nncome1,Ncome1,Nrum1,Ncdbai1,Ncdalta1,Ncdpern1,Npepara2,Ndei2,Npemov2,Ncnor2,Ncalta2,Ncbaixa2,Ncoutra2,Ncgrup2,Ncobs2,Ncpar2,Ncsol2,Nolev2,Noneu2,Notras2,Noass2,Nonvis2,Ncdnmov2,Ncdmov2,Nncome2,Ncome2,Nrum2,Ncdbai2,Ncdalta2,Ncdpern2,Npepara3,Ndei3,Npemov3,Ncnor3,Ncalta3,Ncbaixa3,Ncoutra3,Ncgrup3,Ncobs3,Ncpar3,Ncsol3,Nolev3,Noneu3,Notras3,Noass3,Ncdnmov3,Ncdmov3,Nncome3,Ncome3,Nrum3,Ncdbai3,Ncdalta3,Ncdpern3,Ncpern3
229,1,2,1,1,0,1,0,1,1,0,3,0,2,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4,0,4,1,0,1,2,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,1,0,4,1,4,2,2,3,4,0,4,0,1,0,1,0,0,1,0,0
504,1,2,1,2,1,0,0,4,3,1,4,5,7,5,3,5,5,0,5,0,2,1,1,0,0,1,0,0,3,1,2,4,1,2,8,2,4,3,2,3,4,0,5,0,2,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5,0,4,0,1,0,0,0,1,1,0,0
323,1,2,1,3,1,0,0,3,1,2,6,2,7,2,1,8,2,0,7,0,1,0,1,0,0,1,0,0,2,0,1,7,4,2,8,7,7,6,2,7,5,0,4,0,7,6,1,0,0,1,0,0,5,0,4,6,0,5,9,4,7,3,4,7,9,0,7,0,3,2,1,0,0,1,0,0
384,1,2,1,4,1,0,0,2,0,1,4,1,5,3,1,3,0,0,2,0,3,2,1,0,0,1,0,0,1,0,0,2,1,1,7,6,4,4,1,3,3,0,1,0,2,1,1,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,1,1,0,0
273,2,1,1,5,1,0,0,4,2,1,3,2,4,2,0,3,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,3,1,1,1,0,1,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,2,1,0,2,0,0,0,0,2,0,0,1,0,2,1,1,0,0,1,0,0
303,2,1,1,7,1,0,0,3,3,0,5,5,4,5,1,6,4,0,7,0,4,3,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,2,1,0,2,0,2,1,1,0,1,1,0,0
548,2,1,1,8,2,0,1,6,3,4,6,5,8,4,3,4,3,0,4,0,2,1,2,0,1,1,0,0,1,0,0,2,2,0,2,1,0,0,0,3,1,0,1,0,5,4,1,0,0,4,3,0,5,0,4,9,4,4,5,6,8,10,4,11,7,0,13,0,2,1,1,0,0,1,0,0
192,2,1,1,9,1,0,0,5,2,2,4,9,13,7,1,5,1,0,4,0,1,0,1,0,0,1,0,0,1,0,0,3,2,1,6,8,4,7,1,7,2,0,8,0,1,0,1,0,0,1,0,0,4,0,3,3,1,2,5,16,12,9,1,6,8,1,6,0,2,1,1,0,0,2,0,0
74,2,1,1,10,1,0,0,6,3,2,6,3,6,4,1,3,1,0,1,0,3,2,1,0,1,2,1,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,5,4,0,0,1,5,4,0,1,0,0,2,0,1,3,0,2,1,1,2,2,0,1,0,4,3,0,0,1,1,0,0
502,2,1,1,11,1,0,0,5,2,3,7,4,2,4,2,4,5,1,0,3,3,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,7,6,1,0,0,7,6,0,1,0,0,2,0,1,4,0,1,3,1,2,0,0,2,0,2,1,1,0,0,1,0,0
140,2,1,1,12,2,0,1,4,2,1,4,0,2,5,1,3,1,0,2,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,4,3,1,0,0,4,3,0,3,1,2,4,2,2,2,1,3,2,3,1,0,0,0,0,1,0,1,0,0,1,0,0
219,2,1,1,13,2,0,1,5,4,0,2,4,8,7,0,7,4,0,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,0,4,0,11,12,1,0,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,7,7,1,0,0,1,0,0
