est	des	rept	ncap
vegetativo	0	1	10
vegetativo	0	2	9
vegetativo	0	3	8
vegetativo	0	4	8
vegetativo	0	5	10
vegetativo	0.25	1	11
vegetativo	0.25	2	9
vegetativo	0.25	3	10
vegetativo	0.25	4	10
vegetativo	0.25	5	10
vegetativo	0.5	1	8
vegetativo	0.5	2	8
vegetativo	0.5	3	10
vegetativo	0.5	4	8
vegetativo	0.5	5	9
vegetativo	0.75	1	9
vegetativo	0.75	2	7
vegetativo	0.75	3	7
vegetativo	0.75	4	8
vegetativo	0.75	5	9
vegetativo	1	1	8
vegetativo	1	2	6
vegetativo	1	3	6
vegetativo	1	4	5
vegetativo	1	5	6
botao floral	0	1	7
botao floral	0	2	8
botao floral	0	3	8
botao floral	0	4	9
botao floral	0	5	10
botao floral	0.25	1	9
botao floral	0.25	2	12
botao floral	0.25	3	7
botao floral	0.25	4	10
botao floral	0.25	5	9
botao floral	0.5	1	8
botao floral	0.5	2	9
botao floral	0.5	3	9
botao floral	0.5	4	10
botao floral	0.5	5	8
botao floral	0.75	1	11
botao floral	0.75	2	10
botao floral	0.75	3	7
botao floral	0.75	4	8
botao floral	0.75	5	8
botao floral	1	1	7
botao floral	1	2	7
botao floral	1	3	7
botao floral	1	4	7
botao floral	1	5	8
florecimento	0	1	10
florecimento	0	2	9
florecimento	0	3	8
florecimento	0	4	12
florecimento	0	5	8
florecimento	0.25	1	7
florecimento	0.25	2	5
florecimento	0.25	3	5
florecimento	0.25	4	7
florecimento	0.25	5	5
florecimento	0.5	1	6
florecimento	0.5	2	5
florecimento	0.5	3	7
florecimento	0.5	4	4
florecimento	0.5	5	7
florecimento	0.75	1	8
florecimento	0.75	2	5
florecimento	0.75	3	7
florecimento	0.75	4	6
florecimento	0.75	5	4
florecimento	1	1	5
florecimento	1	2	5
florecimento	1	3	4
florecimento	1	4	4
florecimento	1	5	5
maca	0	1	8
maca	0	2	10
maca	0	3	7
maca	0	4	8
maca	0	5	10
maca	0.25	1	9
maca	0.25	2	6
maca	0.25	3	6
maca	0.25	4	8
maca	0.25	5	6
maca	0.5	1	9
maca	0.5	2	7
maca	0.5	3	11
maca	0.5	4	8
maca	0.5	5	9
maca	0.75	1	6
maca	0.75	2	6
maca	0.75	3	6
maca	0.75	4	6
maca	0.75	5	7
maca	1	1	3
maca	1	2	3
maca	1	3	2
maca	1	4	4
maca	1	5	3
capulho	0	1	11
capulho	0	2	7
capulho	0	3	9
capulho	0	4	12
capulho	0	5	11
capulho	0.25	1	9
capulho	0.25	2	13
capulho	0.25	3	8
capulho	0.25	4	10
capulho	0.25	5	10
capulho	0.5	1	9
capulho	0.5	2	7
capulho	0.5	3	7
capulho	0.5	4	9
capulho	0.5	5	9
capulho	0.75	1	8
capulho	0.75	2	8
capulho	0.75	3	10
capulho	0.75	4	8
capulho	0.75	5	10
capulho	1	1	9
capulho	1	2	8
capulho	1	3	10
capulho	1	4	8
capulho	1	5	10
