dexp	vaso	planta	alt	pesocap	nerep	ncapu	nnos
0	1	1	70.5	25.25	4	4	13
0	1	2	67.5	NA	4	4	14
0	2	1	72	28.49	3	2	14
0	2	2	70	NA	5	5	15
0	3	1	64	31.8	5	5	15
0	3	2	64.5	NA	5	5	11
0	4	1	67.5	32.06	5	5	14
0	4	2	61	NA	5	5	11
0	5	1	70	29.84	4	4	14
0	5	2	70	NA	5	5	15
1	1	1	77	16.95	4	3	17
1	1	2	67	NA	2	2	18
1	2	1	74	26.95	3	3	17
1	2	2	76	NA	4	4	15
1	3	1	67	25.71	5	3	17
1	3	2	70.5	NA	5	5	15
1	4	1	76	27.3	4	4	16
1	4	2	74.5	NA	4	4	16
1	5	1	69	33.47	5	5	16
1	5	2	73	NA	6	6	16
2	1	1	86.5	21.19	6	5	14
2	1	2	78	NA	3	3	16
2	2	1	84	10.24	2	1	21
2	2	2	91.5	NA	3	2	17
2	3	1	69.5	23.94	4	4	15
2	3	2	72.5	NA	4	3	15
2	4	1	72.5	33.75	4	4	14
2	4	2	70	NA	4	3	16
2	5	1	69	25.33	5	5	15
2	5	2	83	NA	4	4	18
3	1	1	77.5	27.97	4	4	15
3	1	2	60	NA	3	3	12
3	2	1	80	24.75	6	6	17
3	2	2	61	NA	4	3	13
3	3	1	81.5	25.3	3	3	15
3	3	2	76.5	NA	3	3	15
3	4	1	81	24.84	3	3	16
3	4	2	77	NA	3	3	17
3	5	1	72	24.12	2	2	16
3	5	2	80	NA	4	4	18
4	1	1	81	27.53	3	3	14
4	1	2	76.5	NA	5	5	13
4	2	1	86.5	14.68	2	2	17
4	2	2	79	NA	3	3	16
4	3	1	77	27.36	4	4	16
4	3	2	87	NA	4	4	17
4	4	1	82	24.27	3	2	16
4	4	2	80.5	NA	5	5	17
4	5	1	91	32.47	5	5	18
4	5	2	83.5	NA	4	4	14
5	1	1	71	26.39	4	4	17
5	1	2	71	NA	3	3	14
5	2	1	86	26.87	5	5	15
5	2	2	60.5	NA	3	3	16
5	3	1	88	24.6	3	3	16
5	3	2	84.5	NA	3	3	17
5	4	1	75	30.68	6	6	14
5	4	2	92	NA	4	4	19
5	5	1	65	23.5	4	4	15
5	5	2	72	NA	3	3	14
