hora	hr	idade	h	ctr	itgu
0	0	21	75.940568	434.6024	77.1369
1	1	21	76.753996	426.2672	78.0766
2	2	21	75.610766	419.8869	76.7977
3	3	21	77.12518	418.7248	77.4272
4	4	21	77.436172	420.3612	78.2298
5	5	21	73.162122	424.3549	75.0046
6	6	21	69.863266	427.0825	72.665
7	7	21	65.858826	429.5984	69.8555
8	8	21	61.789596	438.6881	66.954
9	9	21	60.19618	448.2751	65.8244
10	10	21	60.038176	497.4666	65.7111
11	11	21	59.46468	514.6579	65.2977
12	12	21	59.501046	563.6809	65.3241
13	13	21	79.435884	601.0415	80.3522
14	14	21	76.010792	594.8027	77.899
15	15	21	72.611198	629.487	74.3418
16	16	21	77.73337	665.737	78.2562
17	17	21	81.445628	729.7928	81.7785
18	18	21	75.611184	549.4663	77.4627
19	19	21	72.239596	486.6242	74.7342
20	20	21	66.917202	448.7885	70.8318
21	21	21	61.46272	431.3849	66.7242
22	22	21	60.26306	427.7782	65.8723
23	23	21	60.994978	429.4593	66.3935
0	24	22	59.78236	426.6581	65.5271
1	25	22	58.82305	426.6461	64.8316
2	26	22	58.127498	424.9646	64.3213
3	27	22	57.290662	424.1397	63.7013
4	28	22	56.389872	422.6402	63.026
5	29	22	55.877404	423.0463	62.6379
6	30	22	56.208878	422.7833	62.8892
7	31	22	56.059652	428.6939	62.7763
8	32	22	59.610562	447.3589	65.4032
9	33	22	67.91037	528.8047	71.0756
10	34	22	72.848204	613.9308	74.936
11	35	22	75.265498	645.415	77.3985
12	36	22	75.984876	612.552	78.0646
13	37	22	71.618448	547.211	73.6709
14	38	22	77.314534	619.2655	78.1939
15	39	22	77.981244	600.4376	79.0665
16	40	22	76.09481	538.1996	76.4805
17	41	22	72.714026	507.3582	74.4657
18	42	22	69.744136	473.8109	72.247
19	43	22	66.83402	446.0874	70.3747
20	44	22	64.345248	436.7911	68.7157
21	45	22	62.118144	430.12	67.1838
22	46	22	60.1293	428.6199	65.7766
23	47	22	59.093914	426.4398	65.0287
0	48	23	59.148254	427.8784	65.0684
1	49	23	60.184894	428.5781	65.8165
2	50	23	59.305004	427.019	65.1821
3	51	23	59.175424	426.3778	65.088
4	52	23	58.660448	426.7704	64.7128
5	53	23	59.073014	427.1953	65.0137
6	54	23	59.277416	428.5212	65.1622
7	55	23	59.07594	432.8505	65.0157
8	56	23	59.47931	443.8989	65.3083
9	57	23	65.197132	475.5687	69.2897
10	58	23	65.733008	535.7403	69.6476
11	59	23	70.609814	591.5526	73.2062
12	60	23	74.582068	622.7664	76.4369
13	61	23	74.594608	606.8822	76.5181
14	62	23	76.57342	642.0844	77.9776
15	63	23	72.873284	594.1835	74.9158
