resfr	idade	galp	nap
C	21	I	5
C	22	I	12
C	23	I	4
C	24	I	7
C	25	I	10
C	26	I	7
C	27	I	12
C	28	I	10
C	29	I	11
C	30	I	13
C	31	I	21
C	32	I	19
C	33	I	23
C	34	I	17
C	35	I	22
C	36	I	24
C	37	I	20
C	38	I	34
C	39	I	30
C	21	II	9
C	22	II	7
C	23	II	8
C	24	II	11
C	25	II	10
C	26	II	11
C	27	II	10
C	28	II	14
C	29	II	14
C	30	II	19
C	31	II	18
C	32	II	24
C	33	II	37
C	34	II	39
C	35	II	40
C	36	II	48
C	37	II	48
C	38	II	53
C	39	II	47
S	21	III	7
S	22	III	9
S	23	III	4
S	24	III	4
S	25	III	8
S	26	III	4
S	27	III	5
S	28	III	11
S	29	III	15
S	30	III	26
S	31	III	24
S	32	III	25
S	33	III	31
S	34	III	45
S	35	III	62
S	36	III	113
S	37	III	76
S	38	III	186
S	39	III	140
S	21	IV	14
S	22	IV	6
S	23	IV	5
S	24	IV	5
S	25	IV	4
S	26	IV	6
S	27	IV	8
S	28	IV	15
S	29	IV	27
S	30	IV	39
S	31	IV	34
S	32	IV	27
S	33	IV	36
S	34	IV	57
S	35	IV	32
S	36	IV	62
S	37	IV	58
S	38	IV	54
S	39	IV	83
