period	repart	corled	gaiola	dia	ovos
1	1	vrd	1	1	9
1	1	vrd	2	1	7
1	1	vrd	3	1	9
1	1	vrd	4	1	7
1	1	vrd	5	1	9
1	1	vrd	6	1	8
1	2	amr	1	1	9
1	2	amr	2	1	8
1	2	amr	3	1	6
1	2	amr	4	1	10
1	2	amr	5	1	8
1	2	amr	6	1	7
1	3	azl	1	1	8
1	3	azl	2	1	10
1	3	azl	3	1	7
1	3	azl	4	1	8
1	3	azl	5	1	7
1	3	azl	6	1	8
1	4	brn	1	1	9
1	4	brn	2	1	8
1	4	brn	3	1	9
1	4	brn	4	1	7
1	4	brn	5	1	9
1	4	brn	6	1	7
1	5	vrm	1	1	9
1	5	vrm	2	1	8
1	5	vrm	3	1	8
1	5	vrm	4	1	9
1	5	vrm	5	1	9
1	5	vrm	6	1	7
1	1	vrd	1	2	7
1	1	vrd	2	2	7
1	1	vrd	3	2	5
1	1	vrd	4	2	6
1	1	vrd	5	2	5
1	1	vrd	6	2	7
1	2	amr	1	2	10
1	2	amr	2	2	8
1	2	amr	3	2	10
1	2	amr	4	2	9
1	2	amr	5	2	7
1	2	amr	6	2	6
1	3	azl	1	2	7
1	3	azl	2	2	9
1	3	azl	3	2	6
1	3	azl	4	2	9
1	3	azl	5	2	7
1	3	azl	6	2	7
1	4	brn	1	2	8
1	4	brn	2	2	7
1	4	brn	3	2	7
1	4	brn	4	2	7
1	4	brn	5	2	10
1	4	brn	6	2	4
1	5	vrm	1	2	8
1	5	vrm	2	2	6
1	5	vrm	3	2	7
1	5	vrm	4	2	7
1	5	vrm	5	2	6
1	5	vrm	6	2	10
1	1	vrd	1	3	9
1	1	vrd	2	3	8
1	1	vrd	3	3	9
1	1	vrd	4	3	10
1	1	vrd	5	3	9
1	1	vrd	6	3	8
1	2	amr	1	3	8
1	2	amr	2	3	7
1	2	amr	3	3	8
1	2	amr	4	3	8
1	2	amr	5	3	8
1	2	amr	6	3	5
1	3	azl	1	3	9
1	3	azl	2	3	7
1	3	azl	3	3	10
1	3	azl	4	3	8
1	3	azl	5	3	8
1	3	azl	6	3	8
1	4	brn	1	3	9
1	4	brn	2	3	9
1	4	brn	3	3	8
1	4	brn	4	3	8
1	4	brn	5	3	9
1	4	brn	6	3	8
1	5	vrm	1	3	10
1	5	vrm	2	3	8
1	5	vrm	3	3	9
1	5	vrm	4	3	9
1	5	vrm	5	3	7
1	5	vrm	6	3	8
1	1	vrd	1	4	9
1	1	vrd	2	4	7
1	1	vrd	3	4	5
1	1	vrd	4	4	9
1	1	vrd	5	4	10
1	1	vrd	6	4	9
1	2	amr	1	4	9
1	2	amr	2	4	5
1	2	amr	3	4	9
1	2	amr	4	4	6
1	2	amr	5	4	6
1	2	amr	6	4	9
1	3	azl	1	4	8
1	3	azl	2	4	9
1	3	azl	3	4	10
1	3	azl	4	4	9
1	3	azl	5	4	5
1	3	azl	6	4	9
1	4	brn	1	4	7
1	4	brn	2	4	8
1	4	brn	3	4	5
1	4	brn	4	4	6
1	4	brn	5	4	10
1	4	brn	6	4	9
1	5	vrm	1	4	10
1	5	vrm	2	4	7
1	5	vrm	3	4	7
1	5	vrm	4	4	9
1	5	vrm	5	4	6
1	5	vrm	6	4	8
1	1	vrd	1	5	9
1	1	vrd	2	5	4
1	1	vrd	3	5	8
1	1	vrd	4	5	8
1	1	vrd	5	5	7
1	1	vrd	6	5	8
1	2	amr	1	5	7
1	2	amr	2	5	7
1	2	amr	3	5	9
1	2	amr	4	5	8
1	2	amr	5	5	9
1	2	amr	6	5	8
1	3	azl	1	5	9
1	3	azl	2	5	9
1	3	azl	3	5	8
1	3	azl	4	5	10
1	3	azl	5	5	6
1	3	azl	6	5	6
1	4	brn	1	5	10
1	4	brn	2	5	9
1	4	brn	3	5	9
1	4	brn	4	5	7
1	4	brn	5	5	8
1	4	brn	6	5	8
1	5	vrm	1	5	8
1	5	vrm	2	5	8
1	5	vrm	3	5	8
1	5	vrm	4	5	10
1	5	vrm	5	5	9
1	5	vrm	6	5	9
1	1	vrd	1	6	9
1	1	vrd	2	6	8
1	1	vrd	3	6	8
1	1	vrd	4	6	9
1	1	vrd	5	6	10
1	1	vrd	6	6	7
1	2	amr	1	6	7
1	2	amr	2	6	8
1	2	amr	3	6	7
1	2	amr	4	6	10
1	2	amr	5	6	7
1	2	amr	6	6	6
1	3	azl	1	6	8
1	3	azl	2	6	8
1	3	azl	3	6	10
1	3	azl	4	6	7
1	3	azl	5	6	7
1	3	azl	6	6	7
1	4	brn	1	6	8
1	4	brn	2	6	8
1	4	brn	3	6	8
1	4	brn	4	6	7
1	4	brn	5	6	10
1	4	brn	6	6	6
1	5	vrm	1	6	10
1	5	vrm	2	6	6
1	5	vrm	3	6	9
1	5	vrm	4	6	7
1	5	vrm	5	6	10
1	5	vrm	6	6	8
1	1	vrd	1	7	8
1	1	vrd	2	7	8
1	1	vrd	3	7	9
1	1	vrd	4	7	8
1	1	vrd	5	7	8
1	1	vrd	6	7	6
1	2	amr	1	7	8
1	2	amr	2	7	7
1	2	amr	3	7	9
1	2	amr	4	7	9
1	2	amr	5	7	8
1	2	amr	6	7	5
1	3	azl	1	7	10
1	3	azl	2	7	9
1	3	azl	3	7	6
1	3	azl	4	7	6
1	3	azl	5	7	10
1	3	azl	6	7	8
1	4	brn	1	7	8
1	4	brn	2	7	6
1	4	brn	3	7	7
1	4	brn	4	7	9
1	4	brn	5	7	9
1	4	brn	6	7	8
1	5	vrm	1	7	10
1	5	vrm	2	7	6
1	5	vrm	3	7	7
1	5	vrm	4	7	9
1	5	vrm	5	7	9
1	5	vrm	6	7	9
1	1	vrd	1	8	7
1	1	vrd	2	8	6
1	1	vrd	3	8	8
1	1	vrd	4	8	9
1	1	vrd	5	8	10
1	1	vrd	6	8	6
1	2	amr	1	8	8
1	2	amr	2	8	8
1	2	amr	3	8	7
1	2	amr	4	8	9
1	2	amr	5	8	7
1	2	amr	6	8	7
1	3	azl	1	8	6
1	3	azl	2	8	8
1	3	azl	3	8	7
1	3	azl	4	8	7
1	3	azl	5	8	6
1	3	azl	6	8	6
1	4	brn	1	8	10
1	4	brn	2	8	10
1	4	brn	3	8	7
1	4	brn	4	8	7
1	4	brn	5	8	9
1	4	brn	6	8	7
1	5	vrm	1	8	9
1	5	vrm	2	8	7
1	5	vrm	3	8	8
1	5	vrm	4	8	9
1	5	vrm	5	8	7
1	5	vrm	6	8	9
1	1	vrd	1	9	8
1	1	vrd	2	9	9
1	1	vrd	3	9	8
1	1	vrd	4	9	8
1	1	vrd	5	9	7
1	1	vrd	6	9	7
1	2	amr	1	9	9
1	2	amr	2	9	6
1	2	amr	3	9	8
1	2	amr	4	9	9
1	2	amr	5	9	8
1	2	amr	6	9	7
1	3	azl	1	9	9
1	3	azl	2	9	8
1	3	azl	3	9	8
1	3	azl	4	9	7
1	3	azl	5	9	6
1	3	azl	6	9	8
1	4	brn	1	9	8
1	4	brn	2	9	6
1	4	brn	3	9	8
1	4	brn	4	9	8
1	4	brn	5	9	7
1	4	brn	6	9	8
1	5	vrm	1	9	10
1	5	vrm	2	9	8
1	5	vrm	3	9	9
1	5	vrm	4	9	5
1	5	vrm	5	9	9
1	5	vrm	6	9	9
1	1	vrd	1	10	7
1	1	vrd	2	10	6
1	1	vrd	3	10	8
1	1	vrd	4	10	9
1	1	vrd	5	10	9
1	1	vrd	6	10	7
1	2	amr	1	10	8
1	2	amr	2	10	8
1	2	amr	3	10	9
1	2	amr	4	10	7
1	2	amr	5	10	7
1	2	amr	6	10	5
1	3	azl	1	10	9
1	3	azl	2	10	7
1	3	azl	3	10	7
1	3	azl	4	10	8
1	3	azl	5	10	9
1	3	azl	6	10	9
1	4	brn	1	10	9
1	4	brn	2	10	7
1	4	brn	3	10	9
1	4	brn	4	10	5
1	4	brn	5	10	10
1	4	brn	6	10	8
1	5	vrm	1	10	9
1	5	vrm	2	10	8
1	5	vrm	3	10	7
1	5	vrm	4	10	9
1	5	vrm	5	10	6
1	5	vrm	6	10	7
1	1	vrd	1	11	9
1	1	vrd	2	11	6
1	1	vrd	3	11	9
1	1	vrd	4	11	9
