data	dias	cult	bloco	nsup	nmed	ninf	ntot
2009-12-11	0	BRS 245 RR	I	168	71	39	278
2009-12-11	0	BRS 245 RR	II	30	46	22	98
2009-12-11	0	BRS 245 RR	III	28	36	7	71
2009-12-11	0	BRS 245 RR	IV	6	1	31	38
2009-12-11	0	BRS 243 RR	I	31	22	28	81
2009-12-11	0	BRS 243 RR	II	4	6	10	20
2009-12-11	0	BRS 243 RR	III	3	12	27	42
2009-12-11	0	BRS 243 RR	IV	48	76	13	137
2009-12-11	0	BRS 246 RR	I	100	50	34	184
2009-12-11	0	BRS 246 RR	II	54	15	7	76
2009-12-11	0	BRS 246 RR	III	1	50	12	63
2009-12-11	0	BRS 246 RR	IV	9	2	13	24
2009-12-11	0	BRS 239	I	40	32	44	116
2009-12-11	0	BRS 239	II	76	38	16	130
2009-12-11	0	BRS 239	III	52	43	25	120
2009-12-11	0	BRS 239	IV	23	41	16	80
2009-12-11	0	EMBRAPA 48	I	84	61	56	201
2009-12-11	0	EMBRAPA 48	II	129	189	133	451
2009-12-11	0	EMBRAPA 48	III	84	35	12	131
2009-12-11	0	EMBRAPA 48	IV	34	17	30	81
2009-12-11	0	CD 214 RR	I	17	137	3	157
2009-12-11	0	CD 214 RR	II	107	95	31	233
2009-12-11	0	CD 214 RR	III	130	120	26	276
2009-12-11	0	CD 214 RR	IV	0	34	25	59
2009-12-11	0	CD 202	I	16	21	12	49
2009-12-11	0	CD 202	II	260	34	44	338
2009-12-11	0	CD 202	III	91	67	19	177
2009-12-11	0	CD 202	IV	5	2	7	14
2009-12-11	0	M 7908 RR	I	27	37	29	93
2009-12-11	0	M 7908 RR	II	103	72	32	207
2009-12-11	0	M 7908 RR	III	50	60	32	142
2009-12-11	0	M 7908 RR	IV	53	26	41	120
2009-12-11	0	VMAX RR	I	24	12	11	47
2009-12-11	0	VMAX RR	II	67	6	15	88
2009-12-11	0	VMAX RR	III	0	0	0	0
2009-12-11	0	VMAX RR	IV	12	26	36	74
2009-12-11	0	CD 219 RR	I	0	22	16	38
2009-12-11	0	CD 219 RR	II	391	208	88	687
2009-12-11	0	CD 219 RR	III	53	81	23	157
2009-12-11	0	CD 219 RR	IV	38	39	93	170
2009-12-19	8	BRS 245 RR	I	147	54	37	238
2009-12-19	8	BRS 245 RR	II	98	65	17	180
2009-12-19	8	BRS 245 RR	III	0	53	4	57
2009-12-19	8	BRS 245 RR	IV	16	11	6	33
2009-12-19	8	BRS 243 RR	I	79	96	38	213
2009-12-19	8	BRS 243 RR	II	4	20	19	43
2009-12-19	8	BRS 243 RR	III	19	2	12	33
2009-12-19	8	BRS 243 RR	IV	8	3	5	16
2009-12-19	8	BRS 246 RR	I	77	42	32	151
2009-12-19	8	BRS 246 RR	II	72	110	23	205
2009-12-19	8	BRS 246 RR	III	64	17	14	95
2009-12-19	8	BRS 246 RR	IV	25	7	13	45
2009-12-19	8	BRS 239	I	53	14	7	74
2009-12-19	8	BRS 239	II	144	38	12	194
2009-12-19	8	BRS 239	III	136	48	42	226
2009-12-19	8	BRS 239	IV	49	23	30	102
2009-12-19	8	EMBRAPA 48	I	69	38	19	126
2009-12-19	8	EMBRAPA 48	II	172	158	83	413
2009-12-19	8	EMBRAPA 48	III	150	104	32	286
2009-12-19	8	EMBRAPA 48	IV	22	12	8	42
2009-12-19	8	CD 214 RR	I	36	25	10	71
2009-12-19	8	CD 214 RR	II	59	101	27	187
2009-12-19	8	CD 214 RR	III	376	115	82	573
2009-12-19	8	CD 214 RR	IV	363	170	62	595
2009-12-19	8	CD 202	I	14	21	19	54
2009-12-19	8	CD 202	II	175	160	51	386
2009-12-19	8	CD 202	III	77	51	23	151
2009-12-19	8	CD 202	IV	38	34	6	78
2009-12-19	8	M 7908 RR	I	52	15	12	79
2009-12-19	8	M 7908 RR	II	138	261	139	538
2009-12-19	8	M 7908 RR	III	87	48	19	154
2009-12-19	8	M 7908 RR	IV	21	10	16	47
2009-12-19	8	VMAX RR	I	53	17	9	79
2009-12-19	8	VMAX RR	II	129	65	68	262
2009-12-19	8	VMAX RR	III	11	18	7	36
2009-12-19	8	VMAX RR	IV	12	19	14	45
2009-12-19	8	CD 219 RR	I	11	40	18	69
2009-12-19	8	CD 219 RR	II	85	1157	278	1520
2009-12-19	8	CD 219 RR	III	95	75	24	194
2009-12-19	8	CD 219 RR	IV	24	34	135	193
2009-12-24	13	BRS 245 RR	I	138	54	39	231
2009-12-24	13	BRS 245 RR	II	47	56	14	117
2009-12-24	13	BRS 245 RR	III	32	14	10	56
2009-12-24	13	BRS 245 RR	IV	24	21	5	50
2009-12-24	13	BRS 243 RR	I	85	38	11	134
2009-12-24	13	BRS 243 RR	II	21	7	19	47
2009-12-24	13	BRS 243 RR	III	8	3	14	25
2009-12-24	13	BRS 243 RR	IV	10	30	4	44
2009-12-24	13	BRS 246 RR	I	99	85	40	224
2009-12-24	13	BRS 246 RR	II	84	56	23	163
2009-12-24	13	BRS 246 RR	III	17	23	13	53
2009-12-24	13	BRS 246 RR	IV	51	19	23	93
2009-12-24	13	BRS 239	I	156	42	22	220
2009-12-24	13	BRS 239	II	60	66	10	136
2009-12-24	13	BRS 239	III	144	57	11	212
2009-12-24	13	BRS 239	IV	75	23	15	113
2009-12-24	13	EMBRAPA 48	I	135	44	43	222
2009-12-24	13	EMBRAPA 48	II	87	169	62	318
2009-12-24	13	EMBRAPA 48	III	268	107	111	486
2009-12-24	13	EMBRAPA 48	IV	20	14	3	37
2009-12-24	13	CD 214 RR	I	85	47	25	157
2009-12-24	13	CD 214 RR	II	76	108	36	220
2009-12-24	13	CD 214 RR	III	265	155	146	566
2009-12-24	13	CD 214 RR	IV	464	223	170	857
2009-12-24	13	CD 202	I	25	4	9	38
2009-12-24	13	CD 202	II	182	100	23	305
2009-12-24	13	CD 202	III	77	53	22	152
2009-12-24	13	CD 202	IV	64	65	10	139
2009-12-24	13	M 7908 RR	I	39	13	16	68
2009-12-24	13	M 7908 RR	II	216	152	151	519
2009-12-24	13	M 7908 RR	III	62	32	22	116
2009-12-24	13	M 7908 RR	IV	82	24	19	125
2009-12-24	13	VMAX RR	I	57	9	16	82
2009-12-24	13	VMAX RR	II	88	176	26	290
2009-12-24	13	VMAX RR	III	0	0	0	0
2009-12-24	13	VMAX RR	IV	71	4	11	86
2009-12-24	13	CD 219 RR	I	89	99	14	202
2009-12-24	13	CD 219 RR	II	15	751	423	1189
2009-12-24	13	CD 219 RR	III	131	79	13	223
2009-12-24	13	CD 219 RR	IV	140	159	215	514
2010-01-02	22	BRS 245 RR	I	25	11	30	66
2010-01-02	22	BRS 245 RR	II	8	11	3	22
2010-01-02	22	BRS 245 RR	III	9	2	0	11
2010-01-02	22	BRS 245 RR	IV	18	8	3	29
2010-01-02	22	BRS 243 RR	I	42	19	3	64
2010-01-02	22	BRS 243 RR	II	6	3	6	15
2010-01-02	22	BRS 243 RR	III	2	0	3	5
2010-01-02	22	BRS 243 RR	IV	8	25	3	36
2010-01-02	22	BRS 246 RR	I	24	30	14	68
2010-01-02	22	BRS 246 RR	II	18	7	2	27
2010-01-02	22	BRS 246 RR	III	7	2	1	10
2010-01-02	22	BRS 246 RR	IV	25	14	11	50
2010-01-02	22	BRS 239	I	38	20	55	113
2010-01-02	22	BRS 239	II	21	4	5	30
2010-01-02	22	BRS 239	III	21	23	7	51
2010-01-02	22	BRS 239	IV	8	12	5	25
2010-01-02	22	EMBRAPA 48	I	10	7	13	30
2010-01-02	22	EMBRAPA 48	II	27	13	12	52
2010-01-02	22	EMBRAPA 48	III	101	23	18	142
2010-01-02	22	EMBRAPA 48	IV	11	8	6	25
2010-01-02	22	CD 214 RR	I	27	16	27	70
2010-01-02	22	CD 214 RR	II	12	35	11	58
2010-01-02	22	CD 214 RR	III	62	24	54	140
2010-01-02	22	CD 214 RR	IV	36	48	3	87
2010-01-02	22	CD 202	I	18	8	6	32
2010-01-02	22	CD 202	II	41	6	17	64
2010-01-02	22	CD 202	III	28	7	10	45
2010-01-02	22	CD 202	IV	21	12	14	47
2010-01-02	22	M 7908 RR	I	22	11	2	35
2010-01-02	22	M 7908 RR	II	78	30	18	126
2010-01-02	22	M 7908 RR	III	41	12	1	54
2010-01-02	22	M 7908 RR	IV	101	83	60	244
2010-01-02	22	VMAX RR	I	34	6	4	44
2010-01-02	22	VMAX RR	II	42	30	10	82
2010-01-02	22	VMAX RR	III	0	4	2	6
2010-01-02	22	VMAX RR	IV	43	7	5	55
2010-01-02	22	CD 219 RR	I	166	39	33	238
2010-01-02	22	CD 219 RR	II	135	265	65	465
2010-01-02	22	CD 219 RR	III	26	43	1	70
2010-01-02	22	CD 219 RR	IV	77	88	9	174
2010-01-11	31	BRS 245 RR	I	2	7	10	19
2010-01-11	31	BRS 245 RR	II	3	5	2	10
2010-01-11	31	BRS 245 RR	III	1	1	0	2
2010-01-11	31	BRS 245 RR	IV	4	0	3	7
2010-01-11	31	BRS 243 RR	I	0	5	3	8
2010-01-11	31	BRS 243 RR	II	0	1	1	2
2010-01-11	31	BRS 243 RR	III	1	1	0	2
2010-01-11	31	BRS 243 RR	IV	4	0	2	6
2010-01-11	31	BRS 246 RR	I	4	9	6	19
2010-01-11	31	BRS 246 RR	II	3	4	0	7
2010-01-11	31	BRS 246 RR	III	0	0	0	0
2010-01-11	31	BRS 246 RR	IV	2	0	0	2
2010-01-11	31	BRS 239	I	1	10	2	13
2010-01-11	31	BRS 239	II	1	0	0	1
2010-01-11	31	BRS 239	III	4	3	1	8
2010-01-11	31	BRS 239	IV	2	0	1	3
2010-01-11	31	EMBRAPA 48	I	0	2	1	3
2010-01-11	31	EMBRAPA 48	II	2	0	0	2
2010-01-11	31	EMBRAPA 48	III	3	1	2	6
2010-01-11	31	EMBRAPA 48	IV	1	0	1	2
2010-01-11	31	CD 214 RR	I	2	0	1	3
2010-01-11	31	CD 214 RR	II	3	7	4	14
2010-01-11	31	CD 214 RR	III	4	16	8	28
2010-01-11	31	CD 214 RR	IV	1	0	4	5
2010-01-11	31	CD 202	I	12	2	0	14
2010-01-11	31	CD 202	II	7	1	4	12
2010-01-11	31	CD 202	III	1	0	0	1
2010-01-11	31	CD 202	IV	3	1	0	4
2010-01-11	31	M 7908 RR	I	2	9	3	14
2010-01-11	31	M 7908 RR	II	11	6	4	21
2010-01-11	31	M 7908 RR	III	4	1	1	6
2010-01-11	31	M 7908 RR	IV	55	10	0	65
2010-01-11	31	VMAX RR	I	1	1	1	3
2010-01-11	31	VMAX RR	II	23	7	0	30
2010-01-11	31	VMAX RR	III	5	1	4	10
2010-01-11	31	VMAX RR	IV	10	0	0	10
2010-01-11	31	CD 219 RR	I	65	12	4	81
2010-01-11	31	CD 219 RR	II	217	145	27	389
2010-01-11	31	CD 219 RR	III	10	2	1	13
2010-01-11	31	CD 219 RR	IV	11	4	0	15
2010-01-18	38	BRS 245 RR	I	5	9	12	26
2010-01-18	38	BRS 245 RR	II	3	0	1	4
2010-01-18	38	BRS 245 RR	III	0	0	0	0
2010-01-18	38	BRS 245 RR	IV	3	2	1	6
2010-01-18	38	BRS 243 RR	I	6	0	7	13
2010-01-18	38	BRS 243 RR	II	1	0	0	1
2010-01-18	38	BRS 243 RR	III	0	0	0	0
2010-01-18	38	BRS 243 RR	IV	0	0	0	0
2010-01-18	38	BRS 246 RR	I	5	2	10	17
2010-01-18	38	BRS 246 RR	II	1	0	0	1
2010-01-18	38	BRS 246 RR	III	0	0	0	0
2010-01-18	38	BRS 246 RR	IV	0	0	0	0
2010-01-18	38	BRS 239	I	3	1	0	4
