campista	ncriancas	npessoas	npeixes
0	0	1	0
1	0	1	0
0	0	1	0
1	1	2	0
0	0	1	1
1	2	4	0
0	1	3	0
0	3	4	0
1	2	3	0
1	0	1	1
0	1	4	0
1	2	3	0
0	0	3	1
0	0	3	2
1	0	1	0
1	0	1	1
0	1	4	0
1	2	3	0
1	1	2	1
0	1	3	0
0	1	4	1
1	0	4	5
1	1	2	0
1	0	2	3
1	0	3	30
1	0	2	0
1	0	4	13
0	1	2	0
0	0	1	0
0	3	4	0
0	0	1	0
1	1	3	0
1	0	4	11
1	1	4	5
1	0	1	0
0	0	2	1
1	1	2	1
1	1	4	7
1	1	3	0
1	1	4	14
1	0	1	0
1	0	4	32
0	2	3	0
1	0	4	1
0	2	4	0
1	0	1	0
1	1	2	0
0	0	1	1
1	1	2	5
0	1	2	0
1	1	2	1
1	1	2	0
1	0	4	22
0	0	2	0
1	0	3	15
1	0	1	0
1	0	1	0
1	0	1	0
1	1	4	5
1	0	1	4
0	0	2	2
1	1	2	0
0	1	2	2
1	0	4	32
0	3	4	0
1	0	1	0
0	0	1	1
0	2	3	0
1	0	1	0
1	1	2	0
1	0	3	7
0	3	4	0
0	2	4	0
1	2	3	0
1	0	1	0
0	0	2	0
0	2	3	0
1	0	1	0
0	1	2	0
0	0	4	2
1	1	4	3
0	1	2	1
1	0	3	5
0	0	1	0
1	0	1	2
0	1	3	1
0	1	4	0
1	0	1	1
1	0	4	149
1	2	3	0
1	1	3	1
0	0	2	0
1	0	3	0
0	1	2	1
0	2	4	0
1	1	3	0
0	2	4	0
0	0	4	2
1	0	2	2
0	0	4	29
1	0	1	3
1	0	2	0
0	2	4	0
0	0	3	5
1	0	2	0
0	1	4	0
1	0	1	0
0	1	3	0
1	1	4	0
1	1	4	1
1	0	1	7
1	0	2	1
0	0	1	0
0	1	4	2
0	2	3	0
0	0	2	2
0	1	2	0
0	1	4	0
1	1	3	0
1	2	3	1
0	1	2	0
0	0	1	0
1	3	4	0
0	0	1	0
1	3	4	0
0	1	4	3
1	0	1	4
1	0	3	3
0	0	2	3
1	0	4	8
1	0	3	2
1	0	1	1
0	0	4	6
1	2	4	0
1	1	2	0
0	0	4	5
1	1	4	3
0	1	3	31
1	1	2	0
0	0	2	2
1	3	4	0
1	1	2	0
0	0	3	0
1	1	3	0
0	0	1	0
0	0	2	0
1	0	4	6
0	0	3	9
1	2	3	0
1	1	2	0
1	0	1	0
1	1	2	0
0	0	1	0
0	0	2	2
0	0	3	15
1	0	1	1
1	0	2	2
1	1	3	3
1	0	1	0
1	0	4	65
1	0	3	5
0	0	1	0
1	2	3	0
0	1	4	0
0	2	4	0
0	0	1	1
1	1	4	8
1	0	3	0
1	2	3	0
1	3	4	0
1	0	3	2
1	1	2	4
0	0	4	5
0	0	2	9
0	2	4	0
0	0	2	0
1	0	2	0
0	0	1	0
1	0	2	21
0	0	1	0
1	0	3	6
0	1	2	0
1	0	2	0
1	1	2	0
0	1	3	0
1	1	4	16
0	2	3	0
1	2	3	0
1	0	4	4
1	1	2	2
1	0	3	10
1	0	1	0
1	0	1	0
0	0	1	0
1	0	2	2
1	0	2	1
0	0	1	3
1	1	3	0
1	2	4	0
1	0	2	21
0	1	2	0
0	0	2	0
1	0	1	2
1	1	2	0
1	1	4	3
1	1	3	0
1	0	4	38
1	3	4	0
1	0	1	0
0	0	1	0
1	0	1	1
0	0	1	3
1	0	1	0
0	0	2	1
0	2	4	0
0	1	2	0
0	2	4	0
0	1	3	0
1	2	4	5
0	2	4	0
0	1	4	0
0	0	3	2
1	1	2	0
1	0	1	0
0	1	2	0
1	0	2	1
1	1	3	4
0	0	1	0
1	2	3	0
1	1	2	2
1	0	1	3
0	2	4	0
0	1	3	0
0	0	2	0
0	0	2	0
1	0	1	1
1	0	2	2
1	0	1	0
1	0	3	6
1	0	2	4
1	0	2	1
1	2	4	1
0	0	2	0
1	1	3	1
0	0	3	0
1	0	2	0
1	3	4	0
1	1	2	0
1	2	3	0
1	1	2	0
