tipo	idade	sexo	civil	valor	expos	nsinist
hatch	59	F	Casado	24.624	0.5	1
mono	45	M	Solteiro	23.391	0.7	0
suv	42	M	Casado	86.639	0.79	0
sedan	63	F	Casado	77.545	0.01	0
mono	36	F	Casado	25.934	0.51	0
hatch	33	M	Casado	42.704	0.79	0
hatch	35	M	Casado	16.986	0.81	0
sedan	63	M	Casado	19.055	0.01	0
suv	54	M	Casado	52.374	0.76	0
suv	32	M	Casado	52.524	0.79	0
sedan	66	M	Casado	24.134	0.01	0
hatch	36	F	Casado	45.698	0.66	0
hatch	52	M	Casado	16.336	0.76	0
picape	34	M	Casado	17.7	0.8	0
hatch	47	F	Casado	16.402	0.59	0
mono	60	M	Casado	44.538	0.82	0
sedan	36	M	Casado	27.313	0.77	1
mono	58	M	Casado	32.819	0.11	0
sedan	57	F	Casado	25.45	0.01	0
suv	64	M	Casado	36.549	0.57	0
hatch	50	F	Casado	45.698	0.31	0
mono	32	M	Casado	34.525	0.43	0
picape	50	F	Divorciado	61.593	0.78	0
sedan	32	F	Solteiro	33.956	0.82	0
suv	43	M	Casado	65.41	0.76	0
hatch	63	M	Casado	42.2	0.83	0
hatch	53	F	Casado	41.949	0.27	0
suv	31	F	Casado	31.361	0.41	1
sedan	76	M	Viuvo	42.996	0.79	0
picape	56	F	Casado	19.909	0.07	0
hatch	37	F	Solteiro	17.547	0.8	0
hatch	31	M	Solteiro	25.045	0.82	0
picape	33	M	Solteiro	52.518	0.82	2
sedan	46	M	Casado	41.454	0.57	0
mono	53	F	Casado	30.284	0.76	0
hatch	49	M	Casado	36.775	0.77	0
wagon	50	M	Casado	33.784	0.79	0
hatch	29	M	Solteiro	30.719	0.13	0
hatch	47	M	Divorciado	20.461	0.79	0
hatch	67	M	Casado	19.091	0.78	0
sedan	69	M	Casado	22.059	0.04	0
hatch	36	M	Casado	23.948	0.06	0
sedan	36	F	Casado	79.804	0.79	0
sedan	56	M	Casado	22.427	0.79	0
sedan	54	F	Casado	25.591	0.78	0
suv	30	F	Casado	55.701	0.82	0
suv	49	F	Casado	49.014	0.22	0
suv	41	M	Casado	57.457	0.77	0
hatch	65	F	Casado	20.694	0.82	0
mono	59	M	Casado	48.678	0.84	0
suv	70	M	Casado	58.759	0.84	0
suv	30	M	Casado	63.539	0.8	0
sedan	44	F	Casado	43.595	0.76	0
hatch	60	M	Casado	4.288	0.79	0
suv	44	F	Casado	47.309	0.68	0
sedan	59	M	Casado	54.243	0.81	0
wagon	41	M	Casado	19.448	0.81	0
sedan	43	M	Casado	34.572	0.77	1
hatch	47	M	Casado	20.609	0.77	0
sedan	44	F	Casado	27.906	0.82	0
mono	35	F	Casado	38.165	0.79	0
hatch	58	M	Casado	16.822	0.81	0
hatch	47	M	Casado	11.83	0.82	0
sedan	62	F	Viuvo	65.981	0.81	0
hatch	37	F	Casado	16.093	0.05	0
sedan	70	M	Casado	18.064	0.7	0
sedan	34	F	Casado	41.183	0.02	0
sedan	55	M	Casado	56.078	0.76	0
suv	39	M	Casado	84.25	0.79	0
suv	73	M	Casado	56.288	0.77	2
sedan	49	F	Casado	61.451	0.3	0
sedan	37	F	Casado	25.469	0.7	0
suv	55	M	Casado	39.356	0.77	0
picape	52	F	Casado	21.908	0.77	0
picape	63	M	Casado	26.232	0.78	0
hatch	45	F	Divorciado	40.146	0.01	0
hatch	45	F	Solteiro	14.178	0.77	0
suv	39	M	Casado	96.394	0.8	0
suv	61	M	Casado	60.809	0.36	0
hatch	63	M	Casado	50.23	0.76	0
mono	40	M	Casado	21.414	0.81	0
sedan	50	F	Casado	24.89	0.64	0
sedan	42	M	Casado	14.713	0.78	0
sedan	50	F	Casado	39.626	0.79	0
sedan	70	F	Viuvo	19.535	0.81	1
hatch	69	M	Casado	25.92	0.76	0
hatch	48	F	Casado	27.976	0.77	0
sedan	81	M	Casado	12.851	0.78	0
sedan	54	F	Casado	37.662	0.81	0
hatch	29	M	Casado	37.994	0.82	0
picape	68	M	Casado	38.015	0.82	0
hatch	31	F	Solteiro	17.186	0.2	0
mono	40	F	Casado	52.784	0.26	0
hatch	54	M	Casado	18.112	0.8	0
hatch	55	M	Casado	38.773	0.82	0
picape	68	M	Casado	57.461	0.81	0
suv	40	M	Casado	33.929	0.8	0
hatch	61	F	Casado	22.067	0.79	0
sedan	44	M	Casado	70.272	0.79	0
hatch	54	F	Solteiro	14.378	0.82	0
sedan	49	F	Casado	38.998	0.83	0
sedan	33	F	Casado	22.901	0.83	0
