K	umid	bloc	ngra	nvag
0	37,5	I	136	56
30	37,5	I	159	62
60	37,5	I	156	66
120	37,5	I	171	68
180	37,5	I	190	82
0	50	I	140	63
30	50	I	193	86
60	50	I	200	94
120	50	I	208	86
180	50	I	237	97
0	62,5	I	132	58
30	62,5	I	178	80
60	62,5	I	231	99
120	62,5	I	271	110
180	62,5	I	262	106
0	37,5	II	120	48
30	37,5	II	146	64
60	37,5	II	159	62
120	37,5	II	152	60
180	37,5	II	159	62
0	50	II	124	52
30	50	II	239	103
60	50	II	248	103
120	50	II	190	87
180	50	II	240	101
0	62,5	II	140	64
30	62,5	II	167	77
60	62,5	II	237	96
120	62,5	II	240	94
180	62,5	II	248	105
0	37,5	III	106	44
30	37,5	III	157	63
60	37,5	III	204	84
120	37,5	III	169	66
180	37,5	III	147	58
0	50	III	133	56
30	50	III	199	81
60	50	III	211	92
120	50	III	223	91
180	50	III	261	100
0	62,5	III	128	50
30	62,5	III	164	71
60	62,5	III	216	94
120	62,5	III	215	89
180	62,5	III	228	89
0	37,5	IV	125	60
30	37,5	IV	185	75
60	37,5	IV	159	67
120	37,5	IV	176	76
180	37,5	IV	154	63
0	50	IV	133	51
30	50	IV	149	60
60	50	IV	170	67
120	50	IV	215	90
180	50	IV	186	80
0	62,5	IV	147	62
30	62,5	IV	154	67
60	62,5	IV	179	75
120	62,5	IV	229	90
180	62,5	IV	216	87
0	37,5	V	92	36
30	37,5	V	133	57
60	37,5	V	139	53
120	37,5	V	166	69
180	37,5	V	128	50
0	50	V	131	57
30	50	V	150	61
60	50	V	218	92
120	50	V	236	96
180	50	V	261	110
0	62,5	V	150	69
30	62,5	V	156	63
60	62,5	V	215	95
120	62,5	V	128	55
180	62,5	V	208	90
